missingPattern,prop,b,AUC_semi,AUC_known
create_missing_at_random_data,0.65,1,0.7061036783999999,0.7127147304
create_missing_at_random_data,0.65,2,0.7070164816,0.710008432
create_missing_at_random_data,0.65,3,0.7129459192000001,0.7166185864000001
create_missing_at_random_data,0.65,4,0.7065992216,0.7137748888
create_missing_at_random_data,0.65,5,0.7089891496,0.7167253847999999
create_missing_at_random_data,0.65,6,0.7053836328,0.7119165656
create_missing_at_random_data,0.65,7,0.703093404,0.7078773696
create_missing_at_random_data,0.65,8,0.7088872344,0.7143610015999999
create_missing_at_random_data,0.65,9,0.708368944,0.7152798423999999
create_missing_class_one_data,0.65,0,0.6881966944,0.7055911576
create_missing_class_one_data,0.65,1,0.690573812,0.7076029232
create_missing_class_one_data,0.65,2,0.6856134856,0.70476322
create_missing_class_one_data,0.65,3,0.6883971288,0.7031202512
create_missing_class_one_data,0.65,4,0.6861554536000001,0.703787948
create_missing_class_one_data,0.65,5,0.6877937735999999,0.7068527416
create_missing_class_one_data,0.65,6,0.6894060376,0.7057175408
create_missing_class_one_data,0.65,7,0.688046688,0.7039158168
create_missing_class_one_data,0.65,8,0.6864093184,0.7066000072
create_missing_class_one_data,0.65,9,0.6852998872,0.702020632
create_missing_at_random_data,0.7,0,0.6990133919999999,0.7110361224
create_missing_at_random_data,0.7,1,0.7078943504,0.71462334
create_missing_at_random_data,0.7,2,0.7043141479999999,0.7137881480000001
create_missing_at_random_data,0.7,3,0.70217062,0.7104036288
create_missing_at_random_data,0.7,4,0.6999691984,0.708937532
create_missing_at_random_data,0.7,5,0.7045158968,0.7118564463999999
create_missing_at_random_data,0.7,6,0.7007013168,0.7084396448
create_missing_at_random_data,0.7,7,0.7059143831999999,0.7134756280000001
create_missing_at_random_data,0.7,8,0.7042886744000001,0.7116315584
create_missing_at_random_data,0.7,9,0.7041869104,0.7130685336
create_missing_class_one_data,0.7,0,0.6653122344,0.6915671328
create_missing_class_one_data,0.7,1,0.6670046359999999,0.6979641144
create_missing_class_one_data,0.7,2,0.6759252544000001,0.7020299848
create_missing_class_one_data,0.7,3,0.6735135304,0.7008884304
create_missing_class_one_data,0.7,4,0.6748627024,0.699821932
create_missing_class_one_data,0.7,5,0.6711115152,0.696665772
create_missing_class_one_data,0.7,6,0.6674959536,0.6946348224
create_missing_class_one_data,0.7,7,0.6767319928,0.7020936191999999
create_missing_class_one_data,0.7,8,0.6773421263999999,0.7034590000000001
create_missing_class_one_data,0.7,9,0.6702889416000001,0.69744202
create_missing_at_random_data,0.75,0,0.6960167639999999,0.707408516
create_missing_at_random_data,0.75,1,0.7020334392,0.7127129007999999
create_missing_at_random_data,0.75,2,0.7032370487999999,0.7129078663999999
create_missing_at_random_data,0.75,3,0.7022225504,0.7135288656000001
create_missing_at_random_data,0.75,4,0.7012319112000001,0.7127730543999999
create_missing_at_random_data,0.75,5,0.7042974479999999,0.7182682048
create_missing_at_random_data,0.75,6,0.7024575263999999,0.7110900568
create_missing_at_random_data,0.75,7,0.7000672880000001,0.7108296752000001
create_missing_at_random_data,0.75,8,0.7002658144,0.7132619736000001
create_missing_at_random_data,0.75,9,0.6982603016,0.710564052
create_missing_class_one_data,0.75,0,0.661162392,0.69595194
create_missing_class_one_data,0.75,1,0.6543264255999999,0.6932883568000001
create_missing_class_one_data,0.75,2,0.6565763192,0.6949791647999999
create_missing_class_one_data,0.75,3,0.6559978696,0.6915411728
create_missing_class_one_data,0.75,4,0.6540603784000001,0.6956479607999999
create_missing_class_one_data,0.75,5,0.6654480768000001,0.6981378904
create_missing_class_one_data,0.75,6,0.654784908,0.6940645303999999
create_missing_class_one_data,0.75,7,0.6569650456,0.6957478848
create_missing_class_one_data,0.75,8,0.6635927504,0.699224116
create_missing_class_one_data,0.75,9,0.6564939608,0.6936257072
create_missing_at_random_data,0.8,0,0.6981585024,0.7148609904
create_missing_at_random_data,0.8,1,0.6969960712000001,0.7108086744
create_missing_at_random_data,0.8,2,0.6990709776,0.715263724
create_missing_at_random_data,0.8,3,0.6984036104,0.7141922032000001
create_missing_at_random_data,0.8,4,0.7010706344000001,0.7140639120000001
create_missing_at_random_data,0.8,5,0.698109376,0.7120226752
create_missing_at_random_data,0.8,6,0.7006810304,0.7129407608
create_missing_at_random_data,0.8,7,0.7017279872000001,0.7128143416
create_missing_at_random_data,0.8,8,0.7018264576,0.7156708599999999
create_missing_at_random_data,0.8,9,0.7000444168,0.7138235895999999
create_missing_class_one_data,0.8,0,0.6370103048,0.68932474
create_missing_class_one_data,0.8,1,0.6367441992,0.6849160992000001
create_missing_class_one_data,0.8,2,0.6341741464,0.6877370704000001
create_missing_class_one_data,0.8,3,0.6384111152,0.6901214360000001
create_missing_class_one_data,0.8,4,0.6341633824,0.6876333984
create_missing_class_one_data,0.8,5,0.6330492584,0.68781726
create_missing_class_one_data,0.8,6,0.636188772,0.6868531504
create_missing_class_one_data,0.8,7,0.6384172952,0.6892237688
create_missing_class_one_data,0.8,8,0.637420764,0.6928759408
create_missing_class_one_data,0.8,9,0.636078748,0.6875526944000001
create_missing_at_random_data,0.85,0,0.6915372040000001,0.7115709136
create_missing_at_random_data,0.85,1,0.6921024536,0.706237796
create_missing_at_random_data,0.85,2,0.6891304624,0.7109774816000001
create_missing_at_random_data,0.85,3,0.6953287144,0.7136444976
create_missing_at_random_data,0.85,4,0.6949915464,0.7122030415999999
create_missing_at_random_data,0.85,5,0.6944587127999999,0.7104724520000001
create_missing_at_random_data,0.85,6,0.6913171104,0.71016462
create_missing_at_random_data,0.85,7,0.6916044863999999,0.7086019656
create_missing_at_random_data,0.85,8,0.6936224664000001,0.7099883856
create_missing_at_random_data,0.85,9,0.6950670072,0.7101519055999999
create_missing_class_one_data,0.85,0,0.6123046296000001,0.6791019672
create_missing_class_one_data,0.85,1,0.6139094096,0.684365296
create_missing_class_one_data,0.85,2,0.607442276,0.6780910727999999
